Name,Gender,Nationality,Birth Year,Death Year
Robert Arneson,Male,American,1930,1992
Doroteo Arnaiz,Male,Spanish,1936,
Bill Arnold,Male,American,1941,
Charles Arnoldi,Male,American,1946,
Per Arnoldi,Male,Danish,1941,
Danilo Aroldi,Male,Italian,1925,
Bill Aron,Male,American,1941,
David Aronson,Male,American,1923,
Irene Aronson,Female,American,1918,
Jean (Hans) Arp,Male,French,1886,1966
Jüri Arrak,Male,Estonian,1936,
J. Arrelano Fischer,Male,Mexican,1911,1995
Folke Arstrom,Male,Swedish,1907,1997
Cristobal Arteche,Male,Spanish,1900,1964
Artko,,,,
Richard Artschwager,Male,American,1923,2013
Ruth Asawa,Female,American,1926,2013
Isidora Aschheim,Female,Israeli,,
Charles Robert Ashbee,Male,British,1863,1942
Donald Ashcraft,Male,American,1927,
E. M. Ashe,Male,American,1867,1941
Göran Åslin,,Swedish,1940,
Erik Gunnar Asplund,Male,Swedish,1885,1940
Geneviève Asse,Female,French,1923,
Sergio Asti,Male,Italian,1926,
Dana Atchley,Female,American,1941,2000
Atelier Eggers,,French,,
A.A.P.,,American,,
Alvar Aalto,Male,Finnish,1898,1976
Aino Aalto,Female,Finnish,1894,1949
Eero Aarnio,Male,Finnish,1932,
Jules Aarons,Male,American,1921,2008
Magdalena Abakanowicz,Female,Polish,1930,
James Abbe,Male,American,1883,1973
Jussuff Abbo,Male,British,1888,1953
Berenice Abbott,Female,American,1898,1991
Nobuya Abe,Male,Japanese,1913,1971
Abe Shiro (pen Name: Suichiku),Male,Japanese,1900,
Robert Abel,Male,American,1937,
Sigmund Abeles,Male,American,1934,
Raimund Abraham,Male,American,1933,2010
Ivor Abrahams,Male,British,1935,
Gerald Abramovitz,Male,British,1928,2011
William Ross Abrams,Male,American,1920,2007
Rodolfo Abularach,Male,Guatemalan,1933,
Vito Acconci,Male,American,1940,
Milton Ackoff,Male,American,1915,
Norman Ackroyd,Male,British,,
Luis Alberto Acuña,Male,Colombian,1904,1994
Henri Georges Adam,Male,French,1904,1967
Antoine Samuel Adam-Salomon,Male,French,1818,1881
Valerio Adami,Male,Italian,1935,
Ansel Adams,Male,American,1902,1984
Alice Adams,Female,American,1930,
Clinton Adams,Male,American,1918,2002
Dacres Adams,Male,British,1864,1951
Dennis Adams,Male,American,1948,
Kenneth M. Adams,Male,American,1897,1966
Robert Adams,Male,American,1937,
Shelby Lee Adams,Female,American,1950,
Charles Addams,Male,American,1912,1988
Allan Adler,Male,American,1916,2002
